estado,situacao,votos,eleicao,ano,turno
Minas Gerais,ABSTENÇÃO,1722478,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,ABSTENÇÃO,294919,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,ABSTENÇÃO,1385814,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,ABSTENÇÃO,2361743,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,ABSTENÇÃO,1002593,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,ABSTENÇÃO,416859,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,ABSTENÇÃO,746740,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,ABSTENÇÃO,213895,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,ABSTENÇÃO,342260,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,ABSTENÇÃO,500218,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,ABSTENÇÃO,147069,Nulos e Brancos 1994 Turno 1,1994,1
C. OESTE,ABSTENÇÃO,1203442,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,VOTOS EM BRANCO,41357,Nulos e Brancos 1994 Turno 1,1994,1
Acre,VOTOS EM BRANCO,23843,Nulos e Brancos 1994 Turno 1,1994,1
Amazonas,VOTOS EM BRANCO,47272,Nulos e Brancos 1994 Turno 1,1994,1
Roraima,VOTOS EM BRANCO,4112,Nulos e Brancos 1994 Turno 1,1994,1
Pará,VOTOS EM BRANCO,220796,Nulos e Brancos 1994 Turno 1,1994,1
Amapá,VOTOS EM BRANCO,6777,Nulos e Brancos 1994 Turno 1,1994,1
Tocantins,VOTOS EM BRANCO,50943,Nulos e Brancos 1994 Turno 1,1994,1
Maranhão,VOTOS EM BRANCO,349663,Nulos e Brancos 1994 Turno 1,1994,1
Piauí,VOTOS EM BRANCO,147630,Nulos e Brancos 1994 Turno 1,1994,1
Ceará,VOTOS EM BRANCO,401514,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Norte,VOTOS EM BRANCO,171304,Nulos e Brancos 1994 Turno 1,1994,1
Paraíba,VOTOS EM BRANCO,219564,Nulos e Brancos 1994 Turno 1,1994,1
Pernambuco,VOTOS EM BRANCO,475211,Nulos e Brancos 1994 Turno 1,1994,1
Alagoas,VOTOS EM BRANCO,130622,Nulos e Brancos 1994 Turno 1,1994,1
Sergipe,VOTOS EM BRANCO,94294,Nulos e Brancos 1994 Turno 1,1994,1
Bahia,VOTOS EM BRANCO,717319,Nulos e Brancos 1994 Turno 1,1994,1
Minas Gerais,VOTOS EM BRANCO,958568,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,VOTOS EM BRANCO,113816,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,VOTOS EM BRANCO,474505,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,VOTOS EM BRANCO,1087432,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,VOTOS EM BRANCO,459499,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,VOTOS EM BRANCO,189151,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,VOTOS EM BRANCO,436171,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,VOTOS EM BRANCO,64704,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,VOTOS EM BRANCO,69570,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,VOTOS EM BRANCO,199622,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,VOTOS EM BRANCO,36597,Nulos e Brancos 1994 Turno 1,1994,1
C. OESTE,VOTOS EM BRANCO,370493,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,VOTOS NULOS,29501,Nulos e Brancos 1994 Turno 1,1994,1
Acre,VOTOS NULOS,15665,Nulos e Brancos 1994 Turno 1,1994,1
Amazonas,VOTOS NULOS,58428,Nulos e Brancos 1994 Turno 1,1994,1
Roraima,VOTOS NULOS,5076,Nulos e Brancos 1994 Turno 1,1994,1
Pará,VOTOS NULOS,162565,Nulos e Brancos 1994 Turno 1,1994,1
Amapá,VOTOS NULOS,6597,Nulos e Brancos 1994 Turno 1,1994,1
Tocantins,VOTOS NULOS,47244,Nulos e Brancos 1994 Turno 1,1994,1
Maranhão,VOTOS NULOS,205801,Nulos e Brancos 1994 Turno 1,1994,1
Piauí,VOTOS NULOS,195599,Nulos e Brancos 1994 Turno 1,1994,1
Ceará,VOTOS NULOS,242858,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Norte,VOTOS NULOS,139187,Nulos e Brancos 1994 Turno 1,1994,1
Paraíba,VOTOS NULOS,191677,Nulos e Brancos 1994 Turno 1,1994,1
Pernambuco,VOTOS NULOS,481100,Nulos e Brancos 1994 Turno 1,1994,1
Alagoas,VOTOS NULOS,159280,Nulos e Brancos 1994 Turno 1,1994,1
Sergipe,VOTOS NULOS,112291,Nulos e Brancos 1994 Turno 1,1994,1
Bahia,VOTOS NULOS,715171,Nulos e Brancos 1994 Turno 1,1994,1
Minas Gerais,VOTOS NULOS,879846,Nulos e Brancos 1994 Turno 1,1994,1
Espírito Santo,VOTOS NULOS,111172,Nulos e Brancos 1994 Turno 1,1994,1
Rio de Janeiro,VOTOS NULOS,692746,Nulos e Brancos 1994 Turno 1,1994,1
São Paulo,VOTOS NULOS,1755493,Nulos e Brancos 1994 Turno 1,1994,1
Paraná,VOTOS NULOS,335755,Nulos e Brancos 1994 Turno 1,1994,1
Santa Catarina,VOTOS NULOS,174867,Nulos e Brancos 1994 Turno 1,1994,1
R. G. do Sul,VOTOS NULOS,302650,Nulos e Brancos 1994 Turno 1,1994,1
M. G. do Sul,VOTOS NULOS,76505,Nulos e Brancos 1994 Turno 1,1994,1
Mato Grosso,VOTOS NULOS,95799,Nulos e Brancos 1994 Turno 1,1994,1
Goiás,VOTOS NULOS,186128,Nulos e Brancos 1994 Turno 1,1994,1
Distrito Federal,VOTOS NULOS,64143,Nulos e Brancos 1994 Turno 1,1994,1
C. OESTE,VOTOS NULOS,422575,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,Fernando Henrique Cardoso PSDB (PFL-PTB),259418,Presidente,1994,Turno 1
Acre,Fernando Henrique Cardoso PSDB (PFL-PTB),90132,Presidente,1994,Turno 1
Amazonas,Fernando Henrique Cardoso PSDB (PFL-PTB),419742,Presidente,1994,Turno 1
Roraima,Fernando Henrique Cardoso PSDB (PFL-PTB),60693,Presidente,1994,Turno 1
Pará,Fernando Henrique Cardoso PSDB (PFL-PTB),809793,Presidente,1994,Turno 1
Amapá,Fernando Henrique Cardoso PSDB (PFL-PTB),76397,Presidente,1994,Turno 1
Tocantins,Fernando Henrique Cardoso PSDB (PFL-PTB),234699,Presidente,1994,Turno 1
Maranhão,Fernando Henrique Cardoso PSDB (PFL-PTB),785417,Presidente,1994,Turno 1
Piauí,Fernando Henrique Cardoso PSDB (PFL-PTB),476404,Presidente,1994,Turno 1
Ceará,Fernando Henrique Cardoso PSDB (PFL-PTB),1517698,Presidente,1994,Turno 1
R. G. do Norte,Fernando Henrique Cardoso PSDB (PFL-PTB),606681,Presidente,1994,Turno 1
Paraíba,Fernando Henrique Cardoso PSDB (PFL-PTB),761876,Presidente,1994,Turno 1
Pernambuco,Fernando Henrique Cardoso PSDB (PFL-PTB),1381756,Presidente,1994,Turno 1
Alagoas,Fernando Henrique Cardoso PSDB (PFL-PTB),525036,Presidente,1994,Turno 1
Sergipe,Fernando Henrique Cardoso PSDB (PFL-PTB),270984,Presidente,1994,Turno 1
Bahia,Fernando Henrique Cardoso PSDB (PFL-PTB),1951179,Presidente,1994,Turno 1
Minas Gerais,Fernando Henrique Cardoso PSDB (PFL-PTB),4536780,Presidente,1994,Turno 1
Espírito Santo,Fernando Henrique Cardoso PSDB (PFL-PTB),714958,Presidente,1994,Turno 1
Rio de Janeiro,Fernando Henrique Cardoso PSDB (PFL-PTB),3102664,Presidente,1994,Turno 1
São Paulo,Fernando Henrique Cardoso PSDB (PFL-PTB),8679287,Presidente,1994,Turno 1
Paraná,Fernando Henrique Cardoso PSDB (PFL-PTB),2382093,Presidente,1994,Turno 1
Santa Catarina,Fernando Henrique Cardoso PSDB (PFL-PTB),789001,Presidente,1994,Turno 1
R. G. do Sul,Fernando Henrique Cardoso PSDB (PFL-PTB),1422390,Presidente,1994,Turno 1
M. G. do Sul,Fernando Henrique Cardoso PSDB (PFL-PTB),512527,Presidente,1994,Turno 1
Mato Grosso,Fernando Henrique Cardoso PSDB (PFL-PTB),495956,Presidente,1994,Turno 1
Goiás,Fernando Henrique Cardoso PSDB (PFL-PTB),1171550,Presidente,1994,Turno 1
Distrito Federal,Fernando Henrique Cardoso PSDB (PFL-PTB),315106,Presidente,1994,Turno 1
C. OESTE,VOTOS NOS CANDIDATOS,4127930,Nulos e Brancos 1994 Turno 1,1994,1
Rondônia,COMPARECIMENTO,585404,Nulos e Brancos 1998 Turno 1,1998,1
Acre,COMPARECIMENTO,239598,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,COMPARECIMENTO,969648,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,COMPARECIMENTO,133723,Nulos e Brancos 1998 Turno 1,1998,1
Pará,COMPARECIMENTO,2147683,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,COMPARECIMENTO,184348,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,COMPARECIMENTO,498878,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,COMPARECIMENTO,2059544,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,COMPARECIMENTO,1346593,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,COMPARECIMENTO,3300859,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,COMPARECIMENTO,1399620,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,COMPARECIMENTO,1675605,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,COMPARECIMENTO,3809687,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,COMPARECIMENTO,993135,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,COMPARECIMENTO,846933,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,COMPARECIMENTO,5406422,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,COMPARECIMENTO,9465908,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,COMPARECIMENTO,1498765,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,COMPARECIMENTO,7953829,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,COMPARECIMENTO,19470537,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,COMPARECIMENTO,5035699,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,COMPARECIMENTO,2943703,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,COMPARECIMENTO,5822958,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,COMPARECIMENTO,997117,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,COMPARECIMENTO,1076694,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,COMPARECIMENTO,2341531,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,COMPARECIMENTO,1071508,Nulos e Brancos 1998 Turno 1,1998,1
C. OESTE,COMPARECIMENTO,5486850,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,ABSTENÇÃO,250775,Nulos e Brancos 1998 Turno 1,1998,1
Acre,ABSTENÇÃO,79357,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,ABSTENÇÃO,398436,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,ABSTENÇÃO,36897,Nulos e Brancos 1998 Turno 1,1998,1
Pará,ABSTENÇÃO,1073095,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,ABSTENÇÃO,28941,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,ABSTENÇÃO,125466,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,ABSTENÇÃO,927689,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,ABSTENÇÃO,434557,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,ABSTENÇÃO,1001071,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,ABSTENÇÃO,329355,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,ABSTENÇÃO,547654,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,ABSTENÇÃO,1309413,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,ABSTENÇÃO,390465,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,ABSTENÇÃO,234205,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,ABSTENÇÃO,2525806,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,ABSTENÇÃO,2349275,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,ABSTENÇÃO,418119,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,ABSTENÇÃO,2018001,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,ABSTENÇÃO,3850497,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,ABSTENÇÃO,1348511,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,ABSTENÇÃO,573108,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,ABSTENÇÃO,1023119,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,ABSTENÇÃO,259790,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,ABSTENÇÃO,439757,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,ABSTENÇÃO,607401,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,ABSTENÇÃO,196417,Nulos e Brancos 1998 Turno 1,1998,1
C. OESTE,ABSTENÇÃO,1503365,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,VOTOS EM BRANCO,46365,Nulos e Brancos 1998 Turno 1,1998,1
Acre,VOTOS EM BRANCO,17538,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,VOTOS EM BRANCO,49378,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,VOTOS EM BRANCO,2147,Nulos e Brancos 1998 Turno 1,1998,1
Pará,VOTOS EM BRANCO,150452,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,VOTOS EM BRANCO,2397,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,VOTOS EM BRANCO,46295,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,VOTOS EM BRANCO,284601,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,VOTOS EM BRANCO,186072,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,VOTOS EM BRANCO,272975,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,VOTOS EM BRANCO,205976,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,VOTOS EM BRANCO,221533,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,VOTOS EM BRANCO,411066,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,VOTOS EM BRANCO,62821,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,VOTOS EM BRANCO,111518,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,VOTOS EM BRANCO,767304,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,VOTOS EM BRANCO,893201,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,VOTOS EM BRANCO,104090,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,VOTOS EM BRANCO,263531,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,VOTOS EM BRANCO,1229016,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,VOTOS EM BRANCO,362179,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,VOTOS EM BRANCO,190390,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,VOTOS EM BRANCO,407055,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,VOTOS EM BRANCO,57510,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,VOTOS EM BRANCO,88684,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,VOTOS EM BRANCO,235201,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,VOTOS EM BRANCO,18944,Nulos e Brancos 1998 Turno 1,1998,1
C. OESTE,VOTOS EM BRANCO,400339,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,VOTOS NULOS,51510,Nulos e Brancos 1998 Turno 1,1998,1
Acre,VOTOS NULOS,28979,Nulos e Brancos 1998 Turno 1,1998,1
Amazonas,VOTOS NULOS,93460,Nulos e Brancos 1998 Turno 1,1998,1
Roraima,VOTOS NULOS,15680,Nulos e Brancos 1998 Turno 1,1998,1
Pará,VOTOS NULOS,200393,Nulos e Brancos 1998 Turno 1,1998,1
Amapá,VOTOS NULOS,20633,Nulos e Brancos 1998 Turno 1,1998,1
Tocantins,VOTOS NULOS,54563,Nulos e Brancos 1998 Turno 1,1998,1
Maranhão,VOTOS NULOS,261234,Nulos e Brancos 1998 Turno 1,1998,1
Piauí,VOTOS NULOS,156887,Nulos e Brancos 1998 Turno 1,1998,1
Ceará,VOTOS NULOS,371781,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Norte,VOTOS NULOS,156863,Nulos e Brancos 1998 Turno 1,1998,1
Paraíba,VOTOS NULOS,258592,Nulos e Brancos 1998 Turno 1,1998,1
Pernambuco,VOTOS NULOS,537269,Nulos e Brancos 1998 Turno 1,1998,1
Alagoas,VOTOS NULOS,209661,Nulos e Brancos 1998 Turno 1,1998,1
Sergipe,VOTOS NULOS,107926,Nulos e Brancos 1998 Turno 1,1998,1
Bahia,VOTOS NULOS,754938,Nulos e Brancos 1998 Turno 1,1998,1
Minas Gerais,VOTOS NULOS,983910,Nulos e Brancos 1998 Turno 1,1998,1
Espírito Santo,VOTOS NULOS,136664,Nulos e Brancos 1998 Turno 1,1998,1
Rio de Janeiro,VOTOS NULOS,952910,Nulos e Brancos 1998 Turno 1,1998,1
São Paulo,VOTOS NULOS,1982703,Nulos e Brancos 1998 Turno 1,1998,1
Paraná,VOTOS NULOS,466612,Nulos e Brancos 1998 Turno 1,1998,1
Santa Catarina,VOTOS NULOS,213721,Nulos e Brancos 1998 Turno 1,1998,1
R. G. do Sul,VOTOS NULOS,398997,Nulos e Brancos 1998 Turno 1,1998,1
M. G. do Sul,VOTOS NULOS,89937,Nulos e Brancos 1998 Turno 1,1998,1
Mato Grosso,VOTOS NULOS,79957,Nulos e Brancos 1998 Turno 1,1998,1
Goiás,VOTOS NULOS,214929,Nulos e Brancos 1998 Turno 1,1998,1
Distrito Federal,VOTOS NULOS,85422,Nulos e Brancos 1998 Turno 1,1998,1
C. OESTE,VOTOS NULOS,470245,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),103927,Presidente,1998,Turno 1
Acre,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),59690,Presidente,1998,Turno 1
Amazonas,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),211507,Presidente,1998,Turno 1
Roraima,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),20601,Presidente,1998,Turno 1
Pará,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),530722,Presidente,1998,Turno 1
Amapá,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),62394,Presidente,1998,Turno 1
Tocantins,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),66607,Presidente,1998,Turno 1
Maranhão,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),444912,Presidente,1998,Turno 1
Piauí,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),270465,Presidente,1998,Turno 1
Ceará,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),872290,Presidente,1998,Turno 1
R. G. do Norte,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),267883,Presidente,1998,Turno 1
Paraíba,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),402293,Presidente,1998,Turno 1
Pernambuco,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),890971,Presidente,1998,Turno 1
Alagoas,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),161584,Presidente,1998,Turno 1
Sergipe,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),221565,Presidente,1998,Turno 1
Bahia,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),1372797,Presidente,1998,Turno 1
Minas Gerais,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),2129100,Presidente,1998,Turno 1
Espírito Santo,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),263636,Presidente,1998,Turno 1
Rio de Janeiro,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),2851274,Presidente,1998,Turno 1
São Paulo,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),4688677,Presidente,1998,Turno 1
Paraná,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),1168853,Presidente,1998,Turno 1
Santa Catarina,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),929698,Presidente,1998,Turno 1
R. G. do Sul,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),2460551,Presidente,1998,Turno 1
M. G. do Sul,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),210120,Presidente,1998,Turno 1
Mato Grosso,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),149462,Presidente,1998,Turno 1
Goiás,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),371175,Presidente,1998,Turno 1
Distrito Federal,Luiz Inácio Lula da Silva PT (PDT-PSB-PCdoB),287579,Presidente,1998,Turno 1
C. OESTE,VOTOS NOS CANDIDATOS,4616266,Nulos e Brancos 1998 Turno 1,1998,1
Rondônia,COMPARECIMENTO,693456,Nulos e Brancos 2002 Turno 1,2002,1
Acre,COMPARECIMENTO,290431,Nulos e Brancos 2002 Turno 1,2002,1
Amazonas,COMPARECIMENTO,1192308,Nulos e Brancos 2002 Turno 1,2002,1
Roraima,COMPARECIMENTO,175211,Nulos e Brancos 2002 Turno 1,2002,1
Pará,COMPARECIMENTO,2776995,Nulos e Brancos 2002 Turno 1,2002,1
Amapá,COMPARECIMENTO,247842,Nulos e Brancos 2002 Turno 1,2002,1
Tocantins,COMPARECIMENTO,623579,Nulos e Brancos 2002 Turno 1,2002,1
Maranhão,COMPARECIMENTO,2579150,Nulos e Brancos 2002 Turno 1,2002,1
Piauí,COMPARECIMENTO,1556642,Nulos e Brancos 2002 Turno 1,2002,1
Ceará,COMPARECIMENTO,3860135,Nulos e Brancos 2002 Turno 1,2002,1
R. G. do Norte,COMPARECIMENTO,1579867,Nulos e Brancos 2002 Turno 1,2002,1
Paraíba,COMPARECIMENTO,1905508,Nulos e Brancos 2002 Turno 1,2002,1
Pernambuco,COMPARECIMENTO,4246228,Nulos e Brancos 2002 Turno 1,2002,1
Alagoas,COMPARECIMENTO,1261495,Nulos e Brancos 2002 Turno 1,2002,1
Sergipe,COMPARECIMENTO,949189,Nulos e Brancos 2002 Turno 1,2002,1
Bahia,COMPARECIMENTO,6399829,Nulos e Brancos 2002 Turno 1,2002,1
Minas Gerais,COMPARECIMENTO,10514082,Nulos e Brancos 2002 Turno 1,2002,1
Espírito Santo,COMPARECIMENTO,1768049,Nulos e Brancos 2002 Turno 1,2002,1
Rio de Janeiro,COMPARECIMENTO,8713783,Nulos e Brancos 2002 Turno 1,2002,1
São Paulo,COMPARECIMENTO,21568214,Nulos e Brancos 2002 Turno 1,2002,1
Paraná,COMPARECIMENTO,5585348,Nulos e Brancos 2002 Turno 1,2002,1
Santa Catarina,COMPARECIMENTO,3301569,Nulos e Brancos 2002 Turno 1,2002,1
R. G. do Sul,COMPARECIMENTO,6396989,Nulos e Brancos 2002 Turno 1,2002,1
M. G. do Sul,COMPARECIMENTO,1157516,Nulos e Brancos 2002 Turno 1,2002,1
Mato Grosso,COMPARECIMENTO,1345189,Nulos e Brancos 2002 Turno 1,2002,1
Goiás,COMPARECIMENTO,2792801,Nulos e Brancos 2002 Turno 1,2002,1
Distrito Federal,COMPARECIMENTO,1284103,Nulos e Brancos 2002 Turno 1,2002,1
  ,COMPARECIMENTO,NA,Nulos e Brancos 2002 Turno 1,2002,1
Rondônia,ABSTENÇÃO,189089,Nulos e Brancos 2002 Turno 1,2002,1
Acre,ABSTENÇÃO,79355,Nulos e Brancos 2002 Turno 1,2002,1
Amazonas,ABSTENÇÃO,332419,Nulos e Brancos 2002 Turno 1,2002,1
Roraima,ABSTENÇÃO,33313,Nulos e Brancos 2002 Turno 1,2002,1
Pará,ABSTENÇÃO,792338,Nulos e Brancos 2002 Turno 1,2002,1
Amapá,ABSTENÇÃO,42259,Nulos e Brancos 2002 Turno 1,2002,1
Tocantins,ABSTENÇÃO,161818,Nulos e Brancos 2002 Turno 1,2002,1
Maranhão,ABSTENÇÃO,812664,Nulos e Brancos 2002 Turno 1,2002,1
Piauí,ABSTENÇÃO,291650,Nulos e Brancos 2002 Turno 1,2002,1
Ceará,ABSTENÇÃO,945124,Nulos e Brancos 2002 Turno 1,2002,1
R. G. do Norte,ABSTENÇÃO,337515,Nulos e Brancos 2002 Turno 1,2002,1
Paraíba,ABSTENÇÃO,416560,Nulos e Brancos 2002 Turno 1,2002,1
Pernambuco,ABSTENÇÃO,1150439,Nulos e Brancos 2002 Turno 1,2002,1
Alagoas,ABSTENÇÃO,338597,Nulos e Brancos 2002 Turno 1,2002,1
Sergipe,ABSTENÇÃO,198744,Nulos e Brancos 2002 Turno 1,2002,1
Bahia,ABSTENÇÃO,2168773,Nulos e Brancos 2002 Turno 1,2002,1
Minas Gerais,ABSTENÇÃO,2166502,Nulos e Brancos 2002 Turno 1,2002,1
Espírito Santo,ABSTENÇÃO,378376,Nulos e Brancos 2002 Turno 1,2002,1
Rio de Janeiro,ABSTENÇÃO,1499735,Nulos e Brancos 2002 Turno 1,2002,1
São Paulo,ABSTENÇÃO,4087339,Nulos e Brancos 2002 Turno 1,2002,1
Paraná,ABSTENÇÃO,1078033,Nulos e Brancos 2002 Turno 1,2002,1
Santa Catarina,ABSTENÇÃO,516405,Nulos e Brancos 2002 Turno 1,2002,1
R. G. do Sul,ABSTENÇÃO,955150,Nulos e Brancos 2002 Turno 1,2002,1
M. G. do Sul,ABSTENÇÃO,254257,Nulos e Brancos 2002 Turno 1,2002,1
Mato Grosso,ABSTENÇÃO,384833,Nulos e Brancos 2002 Turno 1,2002,1
Goiás,ABSTENÇÃO,573047,Nulos e Brancos 2002 Turno 1,2002,1
Distrito Federal,ABSTENÇÃO,234334,Nulos e Brancos 2002 Turno 1,2002,1
  ,ABSTENÇÃO,NA,Nulos e Brancos 2002 Turno 1,2002,1
Rondônia,VOTOS EM BRANCO,14473,Nulos e Brancos 2002 Turno 1,2002,1
Acre,VOTOS EM BRANCO,3968,Nulos e Brancos 2002 Turno 1,2002,1
Amazonas,VOTOS EM BRANCO,16124,Nulos e Brancos 2002 Turno 1,2002,1
Roraima,VOTOS EM BRANCO,1944,Nulos e Brancos 2002 Turno 1,2002,1
Pará,VOTOS EM BRANCO,53119,Nulos e Brancos 2002 Turno 1,2002,1
Amapá,VOTOS EM BRANCO,2017,Nulos e Brancos 2002 Turno 1,2002,1
Tocantins,VOTOS EM BRANCO,11637,Nulos e Brancos 2002 Turno 1,2002,1
Maranhão,VOTOS EM BRANCO,89385,Nulos e Brancos 2002 Turno 1,2002,1
